SampleID,Assay,NPX,pg/mL,Group
S7,ITGAM,10.07529,8971.92819,Healthy_sample
S7,MMP10,12.11416,401.92207,Healthy_sample
S7,SNCAIP,-0.60771,,Healthy_sample
S7,TREM2,15.09353,16781.25066,Healthy_sample
S7,Det Ctrl,0.03065,,Healthy_sample
S7,ITGB2,11.0974,48253.31012,Healthy_sample
S7,SMOC1,5.58471,1496.00233,Healthy_sample
S7,BACE1,6.06537,452.09126,Healthy_sample
S7,SCG2,7.27298,2809.80285,Healthy_sample
S7,BMP7,5.88121,4161.03743,Healthy_sample
S7,NPTX1,7.22176,4412.26943,Healthy_sample
S7,HLA-DRA,1.69227,160.29402,Healthy_sample
S7,EIF2AK2,5.4731,5792.14263,Healthy_sample
S7,LRRK2,0.13434,355.96994,Healthy_sample
S7,Ext Ctrl,0,,Healthy_sample
S7,SDC4,6.28362,3553.90568,Healthy_sample
S7,NEFL,4.17498,593.78601,Healthy_sample
S7,GDNF,1.95008,0.0838,Healthy_sample
S7,CLSTN3,3.73819,394.54802,Healthy_sample
S7,AGER,12.85067,1681.15125,Healthy_sample
S7,TP53,2.62296,0.36909,Healthy_sample
S7,Abeta40,0.91317,0.61407,Healthy_sample
S7,pTau217,1.749,0.1016,Healthy_sample
S7,GFAP,4.09278,15.24163,Healthy_sample
S7,GLRX,6.14608,151.47687,Healthy_sample
S7,WWOX,-0.00364,,Healthy_sample
S7,RTN4R,4.47494,526.64886,Healthy_sample
S7,Abeta42,1.95278,10.04327,Healthy_sample
S7,NGF,0.10466,0.03985,Healthy_sample
S7,NLGN1,0.40015,7.55843,Healthy_sample
S7,NPTX2,9.34214,10130.10525,Healthy_sample
S7,MOG,9.09376,39.12965,Healthy_sample
S8,VSNL1,3.62173,36.80638,Diseased_sample
S8,OMG,4.8659,46.28987,Diseased_sample
S8,STX1B,3.35024,54.6379,Diseased_sample
S8,NPTXR,11.42375,1294.72217,Diseased_sample
S8,SYT1,3.70993,17.32139,Diseased_sample
S8,ENO2,10.59143,16972.19519,Diseased_sample
S8,Inc Ctrl,0.03286,,Diseased_sample
S8,TREM1,14.22549,254.6776,Diseased_sample
S8,S100B,1.74997,10.79769,Diseased_sample
S8,DDAH1,5.44833,268.51066,Diseased_sample
S8,KLK8,9.03733,1428.32551,Diseased_sample
S8,FOXO3,2.55289,22.42433,Diseased_sample
S8,DDC,11.80956,2695.75981,Diseased_sample
S8,ITGAM,9.35369,5231.50025,Diseased_sample
S8,MMP10,12.22554,433.49991,Diseased_sample
S8,SNCAIP,-1.27452,,Diseased_sample
S8,TREM2,15.36602,20273.9767,Diseased_sample
S8,Det Ctrl,-0.02677,,Diseased_sample
S8,ITGB2,10.33778,29983.62889,Diseased_sample
S8,SMOC1,5.73088,1616.26358,Diseased_sample
S8,BACE1,5.90461,407.53806,Diseased_sample
S8,SCG2,7.24716,2764.35971,Diseased_sample
S8,BMP7,5.93893,4310.45899,Diseased_sample
S8,NPTX1,8.13728,7620.03662,Diseased_sample
S8,HLA-DRA,2.00262,216.69918,Diseased_sample
S8,EIF2AK2,7.78333,22408.72171,Diseased_sample
S8,LRRK2,-0.89185,98.66032,Diseased_sample
S8,Ext Ctrl,0,,Diseased_sample
S8,SDC4,6.53076,4174.4415,Diseased_sample
S8,NEFL,3.85432,477.40019,Diseased_sample
S8,GDNF,2.28609,0.12915,Diseased_sample
S8,CLSTN3,4.7826,717.70007,Diseased_sample
S8,AGER,13.16481,2094.97493,Diseased_sample
S8,TP53,2.89479,0.46319,Diseased_sample
S8,Abeta40,8.48204,106.23216,Diseased_sample
S8,pTau217,1.98526,0.12837,Diseased_sample
S8,GFAP,4.80385,26.70147,Diseased_sample
S8,GLRX,6.33574,170.40795,Diseased_sample
S8,WWOX,1.54769,2.76013,Diseased_sample
S8,RTN4R,4.50412,535.99012,Diseased_sample
S8,Abeta42,6.08894,91.60186,Diseased_sample
S8,NGF,2.08368,3.28979,Diseased_sample
S8,NLGN1,1.10852,34.935,Diseased_sample
S8,NPTX2,8.48126,5839.49285,Diseased_sample
S8,MOG,8.9455,35.61005,Diseased_sample
S9,VSNL1,3.17657,26.39393,Diseased_sample
S9,OMG,5.18564,56.24037,Diseased_sample
S9,STX1B,3.87367,82.34868,Diseased_sample
S9,NPTXR,11.17358,1087.03972,Diseased_sample
S9,SYT1,4.10556,22.68413,Diseased_sample
S9,ENO2,13.28434,139523.077,Diseased_sample
S9,Inc Ctrl,0.07482,,Diseased_sample
S9,TREM1,13.9145,203.03505,Diseased_sample
S9,S100B,1.98456,13.89694,Diseased_sample
S9,DDAH1,6.94991,675.61835,Diseased_sample
S9,KLK8,9.41522,1832.89421,Diseased_sample
S9,FOXO3,5.61565,193.02319,Diseased_sample
S9,DDC,11.13025,1763.95514,Diseased_sample
S9,ITGAM,9.69357,6712.18431,Diseased_sample
S9,MMP10,11.9113,350.37236,Diseased_sample
S9,SNCAIP,1.08274,0.9172,Diseased_sample
S9,TREM2,15.41409,20966.24579,Diseased_sample
S9,Det Ctrl,0.0762,,Diseased_sample
S9,ITGB2,10.56902,34616.27899,Diseased_sample
S9,SMOC1,6.61131,2571.3638,Diseased_sample
S9,BACE1,6.10911,464.98151,Diseased_sample
S9,SCG2,7.47655,3197.29789,Diseased_sample
S9,BMP7,6.84571,7447.90751,Diseased_sample
S9,NPTX1,8.7085,10776.63549,Diseased_sample
S9,HLA-DRA,3.23908,631.71491,Diseased_sample
S9,EIF2AK2,8.67953,38100.79804,Diseased_sample
S9,LRRK2,0.58506,546.55779,Diseased_sample
S9,Ext Ctrl,0,,Diseased_sample
S9,SDC4,7.66847,8753.76882,Diseased_sample
S9,NEFL,3.93784,505.73258,Diseased_sample
S9,GDNF,1.94134,0.0828,Diseased_sample
S9,CLSTN3,5.02956,823.70844,Diseased_sample
S9,AGER,13.82996,3371.33414,Diseased_sample
S9,TP53,4.30065,1.33692,Diseased_sample
S9,Abeta40,8.78849,121.45324,Diseased_sample
S9,pTau217,2.56843,0.21915,Diseased_sample
S9,GFAP,4.31704,18.27502,Diseased_sample
S9,GLRX,7.50526,355.70239,Diseased_sample
S9,WWOX,2.45306,7.44732,Diseased_sample
S9,RTN4R,4.58816,563.76899,Diseased_sample
S9,Abeta42,5.47196,69.84553,Diseased_sample
S9,NGF,0.60455,0.39126,Diseased_sample
S9,NLGN1,1.53943,64.6519,Diseased_sample
S9,NPTX2,8.78049,7063.13262,Diseased_sample
S9,MOG,8.9901,36.63313,Diseased_sample
S10,VSNL1,3.45018,32.41988,Healthy_pool
S10,OMG,6.55727,123.95729,Healthy_pool
S10,STX1B,5.59298,269.0303,Healthy_pool
S10,NPTXR,11.91538,1837.89003,Healthy_pool
S10,SYT1,3.86123,19.23314,Healthy_pool
S10,ENO2,9.55789,8491.02902,Healthy_pool
S10,Inc Ctrl,-0.0599,,Healthy_pool
S10,TREM1,14.35304,279.6818,Healthy_pool
S10,S100B,1.51752,8.24029,Healthy_pool
S10,DDAH1,6.5788,539.68899,Healthy_pool
S10,KLK8,9.43603,1858.55384,Healthy_pool
S10,FOXO3,3.05121,33.80639,Healthy_pool
S10,DDC,10.95687,1584.78408,Healthy_pool
S10,ITGAM,10.0673,8916.44639,Healthy_pool
S10,MMP10,11.6153,287.08751,Healthy_pool
S10,SNCAIP,0.93368,0.70773,Healthy_pool
S10,TREM2,15.0926,16770.44379,Healthy_pool
S10,Det Ctrl,0.02373,,Healthy_pool
S10,ITGB2,11.10486,48481.93297,Healthy_pool
S10,SMOC1,5.30959,1292.73105,Healthy_pool
S10,BACE1,6.18601,488.49522,Healthy_pool
S10,SCG2,6.57648,1818.4398,Healthy_pool
S10,BMP7,5.03595,2454.46705,Healthy_pool
S10,NPTX1,8.09361,7422.58775,Healthy_pool
S10,HLA-DRA,3.06988,550.94622,Healthy_pool
S10,EIF2AK2,8.05764,26318.29609,Healthy_pool
S10,LRRK2,-2.42268,,Healthy_pool
S10,Ext Ctrl,0,,Healthy_pool
S10,SDC4,6.69787,4653.48351,Healthy_pool
S10,NEFL,3.27779,314.73873,Healthy_pool
S10,GDNF,1.59351,0.04893,Healthy_pool
S10,CLSTN3,3.98052,454.6268,Healthy_pool
S10,AGER,13.22991,2193.50319,Healthy_pool
S10,TP53,2.12345,0.23634,Healthy_pool
S10,Abeta40,1.18854,0.97088,Healthy_pool
S10,pTau217,0.55656,0.02361,Healthy_pool
S10,GFAP,3.80001,11.93515,Healthy_pool
S10,GLRX,8.18851,556.06138,Healthy_pool
S10,WWOX,0.22252,0.13281,Healthy_pool
S10,RTN4R,4.3854,498.92641,Healthy_pool
S10,Abeta42,1.65656,7.98665,Healthy_pool
S10,NGF,0.35876,0.19002,Healthy_pool
S10,NLGN1,3.68354,499.83867,Healthy_pool
S10,NPTX2,9.08442,8579.3457,Healthy_pool
S10,MOG,9.25084,43.25197,Healthy_pool
S11,VSNL1,3.02356,23.48095,Diseased_sample
S11,OMG,5.24284,58.20299,Diseased_sample
S11,STX1B,2.86256,36.06394,Diseased_sample
S11,NPTXR,11.23025,1130.74446,Diseased_sample
S11,SYT1,3.28163,12.72246,Diseased_sample
S11,ENO2,10.86918,20607.33134,Diseased_sample
S11,Inc Ctrl,-0.13763,,Diseased_sample
S11,TREM1,13.60868,162.83991,Diseased_sample
S11,S100B,1.73679,10.6397,Diseased_sample
S11,DDAH1,5.8817,352.07563,Diseased_sample
S11,KLK8,9.47004,1901.33686,Diseased_sample
S11,FOXO3,2.64261,24.21867,Diseased_sample
S11,DDC,10.62425,1291.74612,Diseased_sample
S11,ITGAM,9.47595,5717.00818,Diseased_sample
S11,MMP10,10.84552,171.91274,Diseased_sample
S11,SNCAIP,-0.44846,,Diseased_sample
S11,TREM2,13.5334,5888.10225,Diseased_sample
S11,Det Ctrl,0.02166,,Diseased_sample
S11,ITGB2,10.08749,25691.58958,Diseased_sample
S11,SMOC1,5.6471,1546.22529,Diseased_sample
S11,BACE1,5.90523,407.70211,Diseased_sample
S11,SCG2,6.75374,2029.88741,Diseased_sample
S11,BMP7,6.09371,4736.50775,Diseased_sample
S11,NPTX1,7.9363,6754.26858,Diseased_sample
S11,HLA-DRA,1.62964,150.50658,Diseased_sample
S11,EIF2AK2,8.13407,27530.32373,Diseased_sample
S11,LRRK2,-0.6812,135.42731,Diseased_sample
S11,Ext Ctrl,0,,Diseased_sample
S11,SDC4,6.10437,3161.35228,Diseased_sample
S11,NEFL,2.71052,200.6467,Diseased_sample
S11,GDNF,2.34928,0.13929,Diseased_sample
S11,CLSTN3,3.94748,445.98169,Diseased_sample
S11,AGER,13.51312,2682.95144,Diseased_sample
S11,TP53,3.12111,0.55584,Diseased_sample
S11,Abeta40,7.58785,71.40425,Diseased_sample
S11,pTau217,1.03549,0.04578,Diseased_sample
S11,GFAP,3.85661,12.52198,Diseased_sample
S11,GLRX,6.36504,173.5385,Diseased_sample
S11,WWOX,2.24005,6.04147,Diseased_sample
S11,RTN4R,4.58634,563.15479,Diseased_sample
S11,Abeta42,2.73816,17.06965,Diseased_sample
S11,NGF,1.60827,1.96601,Diseased_sample
S11,NLGN1,0.92826,25.72922,Diseased_sample
S11,NPTX2,9.78102,13488.0053,Diseased_sample
S11,MOG,8.7761,31.98503,Diseased_sample
S12,VSNL1,3.22327,27.345,Healthy_pool
S12,OMG,6.57175,124.96151,Healthy_pool
S12,STX1B,5.51185,255.41354,Healthy_pool
S12,NPTXR,11.78993,1679.20455,Healthy_pool
S12,SYT1,3.5499,15.46985,Healthy_pool
S12,ENO2,9.44009,7865.87789,Healthy_pool
S12,Inc Ctrl,-0.13328,,Healthy_pool
S12,TREM1,14.365,282.15536,Healthy_pool
S12,S100B,0.86242,3.25725,Healthy_pool
S12,DDAH1,6.5309,524.2113,Healthy_pool
S12,KLK8,9.4901,1927.07648,Healthy_pool
S12,FOXO3,2.66968,24.7806,Healthy_pool
S12,DDC,10.99961,1627.12757,Healthy_pool
