RIC_Olink_1,RIC_Olink_2,RIC_Olink_3
11.42996,10.85957,10.31042
2.38935,2.11767,1.50728
15.34373,14.62209,14.24524
-0.05027,0.03645,0.08006
10.74396,10.59644,10.00798
5.16262,4.26889,3.73257
6.64333,6.34584,5.17548
6.75115,6.36659,5.92414
5.07605,4.85706,4.21437
7.96805,7.50312,7.21312
2.84685,,2.19678
8.37005,7.86129,7.29589
0.12002,1.01739,-0.59395
0,0,0
7.13292,6.86629,6.33581
3.95786,3.6639,2.52759
0.7244,,0.9206
3.8917,3.01123,3.22862
12.9857,12.67845,11.99662
2.54849,2.27669,1.57691
,2.24806,1.84398
2.4279,2.03528,0.95804
3.80643,,3.1306
8.09579,7.49669,7.31209
0.63621,0.21435,0.50081
4.66216,4.08702,3.63555
,2.18623,
0.81685,,-0.23023
2.06173,1.18018,0.92693
9.17786,8.67681,8.03099
9.01649,8.74438,8.12745
3.49291,3.01882,3.10043
6.16588,5.61498,5.60514
4.16368,3.29759,4.02153
12.04898,11.34309,11.27236
3.7507,3.30248,3.29491
9.36168,8.70501,8.59499
-0.13549,-0.05786,0.00798
14.26237,13.67135,13.67809
0.3225,0.59138,1.25175
6.58304,5.79917,5.91487
9.43852,9.13515,9.02186
3.22509,2.33579,2.31128
11.30129,10.65863,10.66268
10.21556,9.65938,9.7796
11.42104,10.78437,10.82392
2.48109,1.92275,1.71277
15.33502,14.46551,14.82895
-0.1027,-0.00694,0.06408
10.79395,10.60412,10.6666
4.79996,4.47883,4.14917
6.75016,6.33863,6.04496
6.77102,6.29633,6.36365
5.42048,4.76941,4.77591
7.98555,7.46194,7.83708
2.87201,,2.40089
8.42174,7.77819,7.72947
-0.46311,0.093,-0.23964
0,0,0
7.09224,6.82755,6.87033
3.87631,3.50524,3.28906
0.97913,,1.31758
4.03414,3.02349,3.06163
13.00328,12.61159,12.56924
2.79696,2.06729,1.75236
,2.45809,1.89857
2.56939,1.57349,1.31725
3.82217,,3.67363
8.05168,7.34914,7.76419
0.60521,-0.03858,0.49801
4.56891,3.98112,4.09669
,1.15419,
0.36219,,0.02641
1.30913,1.82569,1.28039
8.99759,8.53306,8.5842
8.88137,8.68188,8.60436
3.48669,2.92847,3.21587
6.26698,5.56523,5.85808
3.79973,3.6265,3.93231
12.04848,11.3984,11.37904
3.69674,3.25537,3.20481
9.18376,8.67613,8.6103
-0.13449,-0.10395,-0.09095
14.28611,13.71998,13.72144
0.825,0.49318,0.6711
6.68847,5.76091,6.04551
9.37703,9.10489,9.0354
3.20244,2.95569,2.38903
11.3448,10.7729,10.77501
10.15081,9.66875,9.83444
11.34146,10.8802,10.89494
3.03464,1.77046,1.81213
15.3113,14.55494,15.0038
-0.03117,0.02662,-0.01432
10.67675,10.65104,10.74467
4.44394,4.17489,4.21056
6.56178,6.18986,5.9103
6.71527,6.2649,6.35805
5.3724,4.86923,4.73473
7.87962,7.52573,7.8385
2.65249,,2.55046
8.3073,7.65869,7.94808
0.8287,-0.24246,-0.24456
0,0,0
7.20627,6.78417,6.93168
3.75657,3.7143,2.92117
1.18326,,1.12791
3.97362,2.94424,2.94863
12.9908,12.65732,12.644
2.06969,1.71911,2.13424
,2.09709,2.30538
2.07285,1.4008,2.11785
3.45502,,3.79881
7.991,7.43078,7.81108
0.34245,0.33807,0.56504
4.60874,3.98198,4.21202
,1.77559,
0.47508,,-0.16227
0.57749,1.42445,1.27784
8.92922,8.48517,8.57813
8.84088,8.65783,8.70512
3.4504,3.01873,3.01525
6.24718,5.64927,5.42191
4.06633,3.45357,3.98138
11.94622,11.53535,11.13428
3.46158,3.38559,3.12712
