SampleID,Assay,NPX_Run1,NPX_Run2,NPX_Run3,pg/mL_Run1,pg/mL_Run2,pg/mL_Run3
Sample_4,RTN4R,4.50149,4.19699,,535.14274,444.94586,
Sample_4,Abeta42,,1.92434,,,9.83295,
Sample_4,NGF,0.00961,,,,,
Sample_4,NLGN1,1.9319,2.17246,,103.21367,133.47453,
Sample_4,NPTX2,8.93739,8.83867,,7807.61633,7330.22916,
Sample_4,MOG,8.74042,9.0239,,31.27109,37.42858,
Sample_5,VSNL1,3.4283,3.17304,,31.89596,26.32327,
Sample_5,OMG,6.16847,5.85063,,99.6443,83.11688,
Sample_5,STX1B,3.90478,3.59312,,84.30073,66.35728,
Sample_5,NPTXR,11.91696,11.59527,,1839.98213,1461.48637,
Sample_5,SYT1,3.57232,3.59795,,15.71913,16.00813,
Sample_5,ENO2,9.20555,8.91696,,6763.29367,5627.85958,
Sample_5,Inc Ctrl,-0.08884,-0.09058,,,,
Sample_5,TREM1,14.22519,13.86783,,254.62231,196.286,
Sample_5,S100B,1.72289,0.72778,,10.47472,2.56617,
Sample_5,DDAH1,6.69779,6.06027,,580.08086,393.1256,
Sample_5,KLK8,9.33648,9.27279,,1739.27758,1667.37286,
Sample_5,FOXO3,2.82583,2.26993,,28.21654,17.40326,
Sample_5,DDC,11.24309,10.9412,,1891.74236,1569.55123,
Sample_5,ITGAM,10.11757,9.80631,,9271.91631,7304.00256,
Sample_5,MMP10,11.37915,11.02754,,245.11078,193.95394,
Sample_5,SNCAIP,1.70531,2.24242,,2.20507,4.01557,
Sample_5,TREM2,15.19934,14.55626,,18055.19651,11626.19012,
Sample_5,Det Ctrl,-0.09578,-0.08609,,,,
Sample_5,ITGB2,10.69437,10.71448,,37435.14033,37909.52116,
Sample_5,SMOC1,5.06218,4.43077,,1132.74748,804.4959,
Sample_5,BACE1,6.51544,6.47159,,602.62909,586.08431,
Sample_5,SCG2,6.67126,6.37978,,1928.52219,1610.01246,
Sample_5,BMP7,5.19773,5.06264,,2720.66848,2496.7133,
Sample_5,NPTX1,7.91148,7.58141,,6654.64182,5464.66681,
Sample_5,HLA-DRA,2.6955,,,403.19659,,
Sample_5,EIF2AK2,8.31316,7.83905,,30606.86468,23150.74894,
Sample_5,LRRK2,-1.38198,0.42566,,37.86504,472.46044,
Sample_5,Ext Ctrl,0,0,,,,
